title,content,category
LinkedIn lays off 668 employees    ,"Microsoft-owned LinkedIn on Monday said it would lay off 668 employees across its engineering, talent and finance teams in the second round of job cuts this year. The job cuts affect more than 3% of the company's workforce. In May this year, LinkedIn decided to cut 716 jobs across sales, operations and support teams.",business
6-month notice period for pilots not unreasonable: Akasa Air CEO,"Akasa Air CEO Vinay Dube said a notice period of six months for pilots is ""not unreasonable"" because the job has a ""long training footprint"". ""You can't create a pilot overnight...you need time. At Akasa...we have a 10-year plan for pilots,"" Dube said. Last month, Akasa sued some of its pilots for resigning without serving their notice period.",business
Some working overtime to harm us: Adani Group amid Mahua Moitra bribery allegations,"Adani Group has reacted amid allegations of TMC MP Mahua Moitra 'accepting bribes from Hiranandani Group' for asking questions 'targeting' Gautam Adani in Parliament. ""This development corroborates our [earlier] statement...that some groups and individuals have been working overtime to harm our name, goodwill and market standing,"" said an Adani spokesperson. Moitra has denied the allegations.",business
Oil prices steady above $90 as investors assess Israel-Hamas war,"Brent oil prices steadied above $90 (over ₹7,492) per barrel on Monday as investors are trying to assess the impact of the ongoing Israel-Hamas war. This comes amid concerns of potential escalation involving Iran. Palestinian militant group Hamas had launched rockets at Israel in a surprise attack earlier this month. ",business
SC rejects telcos' plea to see licence fee as revenue expenditure,"The Supreme Court on Monday rejected a request by telecommunication companies to treat licence fees paid post-July 1999 as revenue expenditure. Ruling in favour of the Income Tax Department, the court held that the fees should be treated as capital expenditure. Earlier, the Delhi High Court held that the fees cannot be construed as capital expenditure.",business
SpiceJet stock dip amid 'Gangwal not interested in airline' report,"SpiceJet's shares tanked 11% on Monday after a report claimed that Indian-American billionaire Rakesh Gangwal doesn't have the ""remotest"" interest in the airline and isn't seeking to buy a stake in it. Gangwal wants SEBI to investigate the root of ""baseless"" rumour about him seeking to buy a stake in cash-strapped SpiceJet, the report added. Gangwal is Co-founder of IndiGo.",business
"HDFC Bank's Q2 profit jumps 50% to ₹15,976 crore","HDFC Bank on Monday reported a net profit of over ₹15,976 crore in the July-September quarter, which was up just over 50% year-on-year. This is HDFC Bank's first quarterly financial report since its merger with Housing Development Finance Corp (HDFC). The gross non-performing assets (NPA) of the bank were at 1.34% of gross advances as on September 30, 2023.",business
What is the TCS bribes-for-jobs scandal?,"The bribes-for-jobs scandal at Tata Consultancy Services (TCS) involved some senior executives taking bribes from staffing firms for providing jobs to their candidates. Based on a whistleblower complaint, TCS launched a probe and found that some employees had received favours in recruitment of business associates. There was no fraud against the company and there's no financial impact, TCS said.",business
Former Bank of China Chairman Liu arrested over bribery suspicion,"Liu Liange, who resigned as the Chairman of Bank of China earlier this year, has been arrested over suspicions of bribery and giving illegal loans. This comes after the 62-year-old was expelled from China's ruling Communist Party following accusations of wrongdoings. Apart from bribery, anti-graft watchdog CCDI had accused him of illegally accepting entertainment at private clubs and ski resorts.",business
"BioNTech warns of write-off of up to ₹7,888 crore on COVID-19 vaccine","Germany's BioNTech flagged write-downs of up to 900 million euros (₹7,888 crore) reflecting similar charges its partner Pfizer announced on their COVID-19 vaccine business last week. Hit by a plunge in the use of pandemic-related products, Pfizer said it would take $900 million in write-offs and other charges for their Comirnaty vaccine. Shares of BioNTech fell after it flagged write-downs.",business
